itemNum	itemName	brands	digitkeys	brandkeys	brandsforads	link	image_link
0k72c23603	Фільтр Повітряний	Kia,Hyundai%%%(0k72c23603)	(0k72c23603)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k72c23603	/storage/detal_photo/0k72c23603-oem-korea-01.jpg
0k74p26710	Циліндр Гальмівний Задній Лівий	Kia,Hyundai%%%(0k74p26710)	(0k74p26710)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k74p26710	/storage/detal_photo/0k72a26710-kia-01.jpg
0k77012431c	Толкатель Клапана	Kia,Hyundai%%%(0k77012431c)	(0k77012431c)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k77012431c	/storage/detal_photo/0k77012431c-kia-01.jpg
0k0y111se0	Вкладиші Шатунні	Kia,Hyundai%%%(0k0y111se0)	(0k0y111se0)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k0y111se0	/storage/detal_photo/0k7y011se0-big-torque-01.jpg
0k9a411210	Шатун Двигателя	Kia,Hyundai%%%(0k9a411210)	(0k9a411210)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k9a411210	/storage/detal_photo/0k9a411210-oem-01.jpg
0k9a413111	Прокладка Впускного Колектора	Kia,Hyundai%%%(0k9a413111)	(0k9a413111)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k9a413111	/storage/detal_photo/0k9a413111-kia-01.jpg
0k9bv12111a	Клапан Впускной	Kia,Hyundai%%%(0k9bv12111a)	(0k9bv12111a)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k9bv12111a	/storage/detal_photo/0k9bv12111a-kia-01.jpg
0vn0111201c	Палець Поршневий	Kia,Hyundai%%%(0vn0111201c)	(0vn0111201c)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0vn0111201c	/storage/detal_photo/0vn0111201c-kia-01.jpg
5842045201	Цилиндр Тормозной Задний Правый	Kia,Hyundai%%%(5842045201)	(5842045201)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/5842045201	/storage/detal_photo/5842045201-hyundai-01.jpg
1884611070	Свічка Запалювання	Kia,Hyundai%%%(1884611070)	(1884611070)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/1884611070	/storage/detal_photo/silzkr7b11-ngk-01.jpg
1884610060	Свеча Зажигания	Kia,Hyundai%%%(1884610060)	(1884610060)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/1884610060	/storage/detal_photo/silzkr6b11-ngk-01.jpg
2091025b00	Прокладки Двигуна	Kia,Hyundai%%%(2091025b00)	(2091025b00)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2091025b00	/storage/detal_photo/2091025b00-hyundai-01.jpg
2102023921	Вкладыши Коренные	Kia,Hyundai%%%(2102023921)	(2102023921)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102023921	/storage/detal_photo/2102023921-hyundai-01.jpg
2102027901	Вкладиші Корінні	Kia,Hyundai%%%(2102027901)	(2102027901)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102027901	/storage/detal_photo/z01crkcn00138-kap-01.jpg
2102032884	Вкладыши Коренные	Kia,Hyundai%%%(2102032884)	(2102032884)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102032884	/storage/detal_photo/2102032884-hyundai-01.jpg
2102037305	Вкладыши Коренные	Kia,Hyundai%%%(2102037305)	(2102037305)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102037305	/storage/detal_photo/2102037305-hyundai-01.jpg
2102038901	Вкладыши Коренные	Kia,Hyundai%%%(2102038901)	(2102038901)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102038901	/storage/detal_photo/2102038901-hyundai-01.jpg
2102039600	Вкладыши Коренные	Kia,Hyundai%%%(2102039600)	(2102039600)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102039600	/storage/detal_photo/2102039600-kia-01.jpg
2102042908	Вкладиші Корінні	Kia,Hyundai%%%(2102042908)	(2102042908)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2102042908	/storage/detal_photo/2102042908-hyundai-01.jpg
2115042542	Форсунка Масляная	Kia,Hyundai%%%(2115042542)	(2115042542)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2115042542	/storage/detal_photo/2115042542-hyundai-01.jpg
214434x000	Сальник Колінчатого Вала Задній	Kia,Hyundai%%%(214434x000)	(214434x000)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/214434x000	/storage/detal_photo/214434x000-kia-01.jpg
2151002510	Піддон Масляний Двигуна	Kia,Hyundai%%%(2151002510)	(2151002510)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2151002510	/storage/detal_photo/2151002510-kia-hyundai-01.jpg
218101c220	Опора Двигуна Права	Kia,Hyundai%%%(218101c220)	(218101c220)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/218101c220	/storage/detal_photo/218101c220-hyundai-01.jpg
218302b000	Опора Двигуна Ліва	Kia,Hyundai%%%(218302b000)	(218302b000)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/218302b000	/storage/detal_photo/218302b000-kia-hyundai-01.jpg
2191017100	Опора Двигуна Передня	Hyundai,Kia%%%(2191017100)	(2191017100)	хюндай,хэндай,hyundai,киа,kia	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2191017100	
219102e501	Опора Двигуна Передня	Hyundai,Kia%%%(219102e501)	(219102e501)	хюндай,хэндай,hyundai,киа,kia	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/219102e501	/storage/detal_photo/219102e501-hyundai-01.jpg
219102f010	Опора Двигуна Передня	Kia,Hyundai%%%(219102f010)	(219102f010)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/219102f010	/storage/detal_photo/219102f010-kia-hyundai-01.jpg
219302g000	Подушка Двигателя Задняя	Kia,Hyundai%%%(219302g000)	(219302g000)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/219302g000	
243123e500	Ремінь Грм	Kia,Hyundai%%%(243123e500)	(243123e500)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/243123e500	/storage/detal_photo/243123e500-kia-01.jpg
2221222011	Клапан Выпускной	Kia,Hyundai%%%(2221222011)	(2221222011)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2221222011	/storage/detal_photo/2221222011-hyundai-01.jpg
222122c400	Клапан Выпускной	Kia,Hyundai%%%(222122c400)	(222122c400)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/222122c400	/storage/detal_photo/222122c400-hyundai-01.jpg
2221233010	Клапан Выпускной	Kia,Hyundai%%%(2221233010)	(2221233010)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2221233010	/storage/detal_photo/2221233010-addax-q-01.jpg
2221242200	Клапан Выпускной	Kia,Hyundai%%%(2221242200)	(2221242200)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2221242200	/storage/detal_photo/h01vlvcn01130-kap-01.jpg
2221284000	Клапан Выпускной	Kia,Hyundai%%%(2221284000)	(2221284000)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2221284000	/storage/detal_photo/2221284000-hyundai-01.jpg
222262b427	Штовхач Клапана t = 3.390	Kia,Hyundai%%%(222262b427)	(222262b427)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/222262b427	/storage/detal_photo/222262b427-kia-hyundai-01.jpg
222262b424	Штовхач Клапана t = 3,345	Kia,Hyundai%%%(222262b424)	(222262b424)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/222262b424	/storage/detal_photo/222262b424-kia-hyundai-01.jpg
2231102760	Прокладка Гбц	Kia,Hyundai%%%(2231102760)	(2231102760)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2231102760	/storage/detal_photo/z04gskmt00547-kap-01.jpg
2231102780	Прокладка Гбц	Kia,Hyundai%%%(2231102780)	(2231102780)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти Hyundai, Киа с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/2231102780	/storage/detal_photo/2231102780-hyundai-01.jpg
